Malicious_Percent,Baseline_Total_Drain_100txns_ETH,Secured_Total_Drain_100txns_ETH
0.0,0.007732500000000001,0.011143999999999998
0.6060606060606061,0.007802909090909092,0.011076460606060604
1.2121212121212122,0.007873318181818181,0.011008921212121209
1.8181818181818183,0.007943727272727276,0.010941381818181817
2.4242424242424243,0.008014136363636364,0.010873842424242424
3.0303030303030303,0.008084545454545455,0.010806303030303027
3.6363636363636367,0.008154954545454547,0.010738763636363634
4.242424242424242,0.008225363636363637,0.01067122424242424
4.848484848484849,0.008295772727272728,0.010603684848484847
5.454545454545455,0.00836618181818182,0.010536145454545452
6.0606060606060606,0.00843659090909091,0.010468606060606058
6.666666666666667,0.008506999999999999,0.010401066666666663
7.272727272727273,0.00857740909090909,0.01033352727272727
7.878787878787879,0.008647818181818184,0.010265987878787878
8.484848484848484,0.008718227272727273,0.010198448484848483
9.090909090909092,0.008788636363636365,0.010130909090909088
9.696969696969697,0.008859045454545455,0.010063369696969695
10.303030303030303,0.008929454545454546,0.009995830303030301
10.90909090909091,0.00899986363636364,0.009928290909090908
11.515151515151516,0.009070272727272729,0.009860751515151514
12.121212121212121,0.009140681818181819,0.00979321212121212
12.727272727272728,0.009211090909090908,0.009725672727272724
13.333333333333334,0.0092815,0.009658133333333332
13.93939393939394,0.009351909090909091,0.009590593939393937
14.545454545454547,0.009422318181818183,0.009523054545454542
15.151515151515152,0.009492727272727272,0.009455515151515149
15.757575757575758,0.009563136363636366,0.009387975757575757
16.363636363636363,0.009633545454545455,0.009320436363636362
16.96969696969697,0.009703954545454545,0.009252896969696967
17.575757575757578,0.009774363636363637,0.009185357575757573
18.181818181818183,0.009844772727272726,0.00911781818181818
18.78787878787879,0.009915181818181818,0.009050278787878785
19.393939393939394,0.009985590909090911,0.008982739393939393
20.0,0.010056,0.008915199999999998
20.606060606060606,0.01012640909090909,0.008847660606060603
21.21212121212121,0.010196818181818182,0.00878012121212121
21.81818181818182,0.010267227272727273,0.008712581818181818
22.424242424242426,0.010337636363636363,0.008645042424242421
23.03030303030303,0.010408045454545455,0.008577503030303028
23.636363636363637,0.010478454545454546,0.008509963636363634
24.242424242424242,0.010548863636363636,0.00844242424242424
24.848484848484848,0.010619272727272727,0.008374884848484847
25.454545454545457,0.010689681818181819,0.008307345454545454
26.060606060606062,0.010760090909090908,0.008239806060606059
26.666666666666668,0.0108305,0.008172266666666664
27.272727272727273,0.010900909090909091,0.00810472727272727
27.87878787878788,0.010971318181818183,0.008037187878787877
28.484848484848484,0.011041727272727273,0.007969648484848484
29.090909090909093,0.011112136363636366,0.00790210909090909
29.6969696969697,0.011182545454545455,0.007834569696969695
30.303030303030305,0.011252954545454545,0.007767030303030301
30.90909090909091,0.011323363636363637,0.007699490909090908
31.515151515151516,0.011393772727272728,0.007631951515151513
32.121212121212125,0.011464181818181818,0.007564412121212119
32.72727272727273,0.01153459090909091,0.007496872727272727
33.333333333333336,0.011605,0.0074293333333333295
33.93939393939394,0.01167540909090909,0.007361793939393939
34.54545454545455,0.011745818181818182,0.007294254545454544
35.151515151515156,0.011816227272727273,0.007226715151515149
35.75757575757576,0.011886636363636363,0.007159175757575757
36.36363636363637,0.011957045454545455,0.0070916363636363625
36.96969696969697,0.012027454545454546,0.007024096969696968
37.57575757575758,0.012097863636363636,0.006956557575757575
38.18181818181818,0.012168272727272727,0.0068890181818181805
38.78787878787879,0.012238681818181819,0.006821478787878785
39.3939393939394,0.01230909090909091,0.006753939393939391
40.0,0.0123795,0.006686399999999999
40.60606060606061,0.012449909090909088,0.0066188606060606035
41.21212121212121,0.012520318181818183,0.006551321212121211
41.81818181818182,0.012590727272727273,0.006483781818181817
42.42424242424242,0.012661136363636364,0.006416242424242423
43.03030303030303,0.012731545454545455,0.006348703030303029
43.63636363636364,0.012801954545454545,0.006281163636363636
44.24242424242424,0.012872363636363637,0.006213624242424241
44.84848484848485,0.012942772727272728,0.006146084848484847
45.45454545454545,0.013013181818181816,0.006078545454545453
46.06060606060606,0.01308359090909091,0.006011006060606059
46.66666666666667,0.013154,0.005943466666666665
47.27272727272727,0.013224409090909092,0.005875927272727271
47.87878787878788,0.013294818181818182,0.005808387878787877
48.484848484848484,0.013365227272727273,0.005740848484848484
49.09090909090909,0.013435636363636365,0.005673309090909089
49.696969696969695,0.013506045454545455,0.0056057696969696955
50.303030303030305,0.013576454545454546,0.005538230303030302
50.909090909090914,0.013646863636363638,0.005470690909090907
51.515151515151516,0.013717272727272727,0.005403151515151514
52.121212121212125,0.013787681818181819,0.00533561212121212
52.72727272727273,0.013858090909090907,0.005268072727272726
53.333333333333336,0.013928499999999998,0.005200533333333332
53.93939393939394,0.013998909090909091,0.005132993939393939
54.54545454545455,0.014069318181818183,0.005065454545454544
55.151515151515156,0.01413972727272727,0.00499791515151515
55.75757575757576,0.014210136363636364,0.004930375757575757
56.36363636363637,0.014280545454545455,0.004862836363636362
56.96969696969697,0.014350954545454545,0.004795296969696969
57.57575757575758,0.014421363636363637,0.004727757575757574
58.18181818181819,0.014491772727272728,0.004660218181818181
58.78787878787879,0.014562181818181816,0.004592678787878787
59.3939393939394,0.01463259090909091,0.0045251393939393925
60.0,0.014702999999999997,0.004457599999999999
