Scenario,Paymaster,Total_Drain_ETH,Per_Txn_Avg_ETH,Per_Txn_Min_ETH,Per_Txn_Max_ETH,Total_Time_Seconds,Per_Txn_Latency_ms
80-10-10,Baseline,0.010055999999999999,0.00010055999999999999,7e-05,0.000338,1572.82,15.7282
80-10-10,Secured,0.009541000000000001,9.541000000000001e-05,0.0,0.000143,1353.11,13.531099999999999
100% Valid,Baseline,0.006904999999999999,6.904999999999998e-05,6.8e-05,7e-05,1320.15,13.201500000000001
100% Valid,Secured,0.011143999999999998,0.00011143999999999998,0.000108,0.000147,1463.92,14.6392
